Date,AAPL,AMZN,JPM,MSFT
2016-02-26,94.143906,555.22998,55.011662,49.437096
2016-02-29,93.930183,552.52002,53.826153,49.032349
2016-03-01,97.660561,579.039978,56.598717,50.670616
2016-03-02,97.874298,580.210022,57.134117,51.027176
2016-03-03,98.602882,577.48999,57.325321,50.448967
2016-03-04,100.069786,575.140015,57.411369,50.140583
2016-03-07,98.962318,562.799988,57.306206,49.176895
2016-03-08,98.146294,560.26001,56.197182,49.774391
2016-03-09,98.233734,559.469971,56.522236,50.921169
2016-03-10,98.282295,558.929993,56.034649,50.159859
2016-03-11,99.341187,569.609985,56.732567,51.142818
2016-03-14,99.593773,573.369995,56.522236,51.239185
2016-03-15,101.594978,577.02002,56.598717,51.643936
2016-03-16,102.945305,574.27002,56.331024,52.376339
2016-03-17,102.780144,559.440002,56.168491,52.675079
2016-03-18,102.896729,552.080017,57.822479,51.547573
2016-03-21,102.887009,553.97998,57.803356,51.904137
2016-03-22,103.673882,560.47998,57.593025,52.106506
2016-03-23,103.100731,569.630005,57.306206,52.010139
2016-03-24,102.653854,582.950012,56.866417,52.241425
2016-03-28,102.187561,579.869995,56.789932,51.595753
2016-03-29,104.606491,593.859985,56.436192,52.723263
2016-03-30,106.432831,598.690002,57.086315,53.050919
2016-03-31,105.879097,593.640015,56.617844,53.224377
