Date,KO,MSFT,PCLN,PEP
2016-12-09,42.0,61.970001,1557.97998,103.57
2016-12-12,41.900002,62.169998,1536.780029,104.720001
2016-12-13,41.759998,62.98,1540.109985,105.629997
2016-12-14,41.209999,62.68,1528.449951,104.470001
2016-12-15,41.549999,62.580002,1501.199951,105.300003
2016-12-16,41.740002,62.299999,1484.280029,105.870003
2016-12-19,41.669998,63.619999,1488.829956,105.410004
2016-12-20,41.66,63.540001,1502.25,104.900002
2016-12-21,41.57,63.540001,1505.76001,104.699997
2016-12-22,41.549999,63.549999,1481.339966,105.349998
2016-12-23,41.599998,63.240002,1486.199951,105.089996
2016-12-27,41.610001,63.279999,1493.420044,105.129997
2016-12-28,41.389999,62.990002,1480.459961,104.620003
2016-12-29,41.599998,62.900002,1480.160034,104.989998
2016-12-30,41.459999,62.139999,1466.060059,104.629997
2017-01-03,41.799999,62.580002,1477.569946,104.650002
2017-01-04,41.650002,62.299999,1487.290039,104.849998
2017-01-05,41.75,62.299999,1503.699951,104.709999
2017-01-06,41.740002,62.84,1520.569946,104.559998
2017-01-09,41.32,62.639999,1529.640015,103.459999
2017-01-10,41.040001,62.619999,1535.25,101.970001
2017-01-11,41.049999,63.189999,1536.109985,101.809998
2017-01-12,40.950001,62.610001,1538.589966,101.839996
2017-01-13,40.880001,62.700001,1545.819946,101.550003
2017-01-17,41.220001,62.529999,1540.130005,102.190002
2017-01-18,41.290001,62.5,1541.859985,102.739998
2017-01-19,41.139999,62.299999,1539.02002,102.360001
2017-01-20,41.32,62.740002,1545.01001,103.239998
2017-01-23,41.43,62.959999,1554.98999,104.010002
2017-01-24,41.900002,63.52,1563.329956,104.709999
2017-01-25,42.119999,63.68,1578.819946,104.610001
2017-01-26,41.810001,64.269997,1581.439941,104.139999
2017-01-27,41.450001,65.779999,1602.920044,103.480003
2017-01-30,41.380001,65.129997,1602.310059,103.690002
2017-01-31,41.57,64.650002,1575.130005,103.779999
2017-02-01,41.259998,63.580002,1575.310059,103.010002
2017-02-02,41.400002,63.169998,1574.089966,104.029999
2017-02-03,41.540001,63.68,1583.380005,105.110001
2017-02-06,41.560001,63.639999,1587.180054,104.57
2017-02-07,41.900002,63.43,1598.699951,105.610001
2017-02-08,42.02,63.34,1601.189941,105.690002
2017-02-09,41.25,64.059998,1611.829956,105.970001
2017-02-10,40.580002,64.0,1646.51001,106.099998
2017-02-13,40.619999,64.720001,1646.180054,106.519997
2017-02-14,40.529999,64.57,1637.290039,106.919998
2017-02-15,40.439999,64.529999,1648.959961,106.730003
2017-02-16,41.200001,64.519997,1648.880005,108.120003
2017-02-17,41.23,64.620003,1637.400024,108.150002
2017-02-21,41.459999,64.489998,1647.0,109.360001
2017-02-22,41.599998,64.360001,1651.73999,109.410004
2017-02-23,41.66,64.620003,1637.26001,109.540001
2017-02-24,41.779999,64.620003,1631.619995,109.830002
2017-02-27,41.669998,64.230003,1632.01001,109.269997
2017-02-28,41.959999,63.98,1724.130005,110.379997
2017-03-01,42.16,64.940002,1733.180054,109.730003
2017-03-02,42.470001,64.010002,1734.369995,110.110001
2017-03-03,42.48,64.25,1735.099976,110.559998
2017-03-06,42.18,64.269997,1730.209961,109.629997
2017-03-07,41.990002,64.400002,1736.459961,109.32
2017-03-08,41.990002,64.989998,1743.48999,109.300003
2017-03-09,42.029999,64.730003,1749.420044,109.019997
2017-03-10,42.290001,64.93,1754.23999,109.589996
2017-03-13,42.029999,64.709999,1767.119995,109.410004
2017-03-14,41.970001,64.410004,1769.0,109.339996
2017-03-15,42.119999,64.75,1767.97998,111.110001
2017-03-16,42.25,64.639999,1773.97998,111.139999
2017-03-17,42.029999,64.870003,1772.630005,111.389999
2017-03-20,42.18,64.93,1765.439941,111.150002
2017-03-21,42.5,64.209999,1747.140015,111.769997
2017-03-22,42.380001,65.029999,1751.98999,112.019997
2017-03-23,42.169998,64.870003,1748.329956,111.779999
2017-03-24,42.119999,64.980003,1753.109985,112.120003
2017-03-27,42.32,65.099998,1772.0,111.830002
2017-03-28,42.43,65.290001,1788.449951,112.449997
2017-03-29,42.419998,65.470001,1785.050049,112.43
2017-03-30,42.599998,65.709999,1789.199951,112.18
2017-03-31,42.439999,65.860001,1779.969971,111.860001
