Date,AAPL,AMZN,GOOG,MSFT
2007-09-19,20.110001,89.0,271.658112,28.67
2007-09-20,20.044285,89.650002,274.628815,28.42
2007-09-21,20.592857,91.300003,278.240326,28.65
2007-09-24,21.182858,92.589996,282.174713,29.08
2007-09-25,21.882856,93.480003,282.66156,29.559999
2007-09-26,21.824286,93.43,282.244263,29.5
2007-09-27,22.071428,93.379997,281.916412,29.49
2007-09-28,21.924286,93.150002,281.802155,29.459999
2007-10-01,22.334286,93.410004,289.392792,29.77
2007-10-02,22.635714,92.360001,290.306824,29.700001
2007-10-03,22.559999,92.459999,290.123016,29.450001
2007-10-04,22.32,92.260002,287.644165,29.709999
2007-10-05,23.064285,93.43,295.105621,29.84
2007-10-08,23.987143,95.849998,302.840302,29.84
2007-10-09,23.98,95.32,305.602356,30.1
2007-10-10,23.827143,94.660004,310.674377,30.23
2007-10-11,23.175714,89.339996,308.990326,29.91
2007-10-12,23.892857,92.370003,316.63559,30.17
2007-10-15,23.854286,90.529999,308.051422,30.040001
2007-10-16,24.225714,89.529999,306.009705,30.32
2007-10-17,24.678572,90.550003,314.693237,31.08
2007-10-18,24.785715,89.849998,317.743378,31.16
2007-10-19,24.345715,89.760002,320.271942,30.17
2007-10-22,24.908571,91.290001,323.27243,30.51
2007-10-23,26.594286,100.82,335.701599,30.9
2007-10-24,26.561428,88.730003,335.72641,31.25
2007-10-25,26.111429,88.209999,332.095032,31.99
2007-10-26,26.385714,90.0,335.120361,35.029999
2007-10-29,26.441429,90.099998,337.42041,34.57
2007-10-30,26.714285,88.239998,345.140198,35.57
2007-10-31,27.135714,89.150002,351.215668,36.810001
2007-11-01,26.777143,87.650002,349.332916,37.060001
2007-11-02,26.838572,85.980003,353.326935,37.060001
2007-11-05,26.597143,84.370003,360.480408,36.73
2007-11-06,27.398571,87.269997,368.49826,36.41
2007-11-07,26.614286,87.040001,364.101868,35.52
2007-11-08,25.067142,83.580002,344.678192,34.740002
2007-11-09,23.624287,78.889999,329.839722,33.73
2007-11-12,21.965714,77.0,313.992767,33.380001
2007-11-13,24.280001,79.860001,328.140747,34.459999
2007-11-14,23.73,78.510002,318.766724,33.93
2007-11-15,23.471428,77.849998,312.790588,33.759998
2007-11-16,23.77,78.599998,314.767731,34.09
2007-11-19,23.421429,79.18,310.902863,33.959999
2007-11-20,24.121429,80.389999,322.174561,34.580002
2007-11-21,24.065714,79.760002,328.125854,34.23
2007-11-23,24.505714,81.43,336.163574,34.110001
2007-11-26,24.648571,81.300003,330.848145,32.970001
2007-11-27,24.972857,85.589996,334.608704,33.060001
2007-11-28,25.745714,90.300003,343.893311,33.700001
2007-11-29,26.327143,89.150002,346.247986,33.59
2007-11-30,26.031429,90.559998,344.260925,33.599998
2007-12-03,25.551428,90.910004,338.562988,32.919998
2007-12-04,25.687143,94.410004,339.869476,32.77
2007-12-05,26.5,93.190002,346.998108,34.150002
2007-12-06,27.135714,94.209999,355.319,34.549999
2007-12-07,27.757143,94.309998,355.125244,34.529999
2007-12-10,27.744286,93.019997,356.888794,34.759998
2007-12-11,26.934286,90.75,347.340881,34.099998
2007-12-12,27.265715,91.279999,347.415405,34.470001
2007-12-13,27.404285,92.400002,344.782532,35.220001
2007-12-14,27.198572,89.080002,342.750732,35.310001
2007-12-17,26.342857,85.089996,332.452728,34.389999
2007-12-18,26.139999,86.889999,334.49939,34.740002
2007-12-19,26.16,89.379997,336.496429,34.790001
2007-12-20,26.744286,90.580002,342.616608,35.52
2007-12-21,27.701429,91.260002,346.093994,36.060001
2007-12-24,28.4,91.010002,348.100952,36.580002
2007-12-26,28.421429,92.849998,353.12326,36.610001
2007-12-27,28.367144,94.25,348.105896,35.970001
2007-12-28,28.547142,94.449997,348.995117,36.119999
2007-12-31,28.297142,92.639999,343.505829,35.599998
2008-01-02,27.834286,96.25,340.381134,35.220001
2008-01-03,27.847143,95.209999,340.450684,35.369999
2008-01-04,25.721428,88.790001,326.377228,34.380001
2008-01-07,25.377142,88.82,322.527283,34.610001
2008-01-08,24.464285,87.879997,313.799042,33.450001
2008-01-09,25.628571,85.220001,324.489502,34.439999
2008-01-10,25.431429,84.260002,321.275421,34.330002
2008-01-11,24.67,81.080002,317.062805,33.91
2008-01-14,25.540001,82.870003,324.797516,34.389999
2008-01-15,24.148571,80.239998,316.76474,34.0
2008-01-16,22.805714,80.349998,305.984863,33.23
2008-01-17,22.984285,80.120003,298.453857,33.110001
2008-01-18,23.051428,79.760002,298.185577,33.009998
2008-01-22,22.234285,78.480003,290.286957,31.959999
2008-01-23,19.867144,73.970001,272.537415,31.93
2008-01-24,19.371429,77.669998,285.388824,33.25
2008-01-25,18.572857,77.599998,281.369965,32.939999
2008-01-28,18.572857,75.82,276.193634,32.720001
2008-01-29,18.79143,73.949997,273.481262,32.599998
2008-01-30,18.882856,74.209999,272.363525,32.200001
2008-01-31,19.337143,77.699997,280.326752,32.599998
2008-02-01,19.107143,74.629997,256.283112,30.450001
2008-02-04,18.807142,73.949997,246.114258,30.190001
2008-02-05,18.48,72.089996,251.762527,29.07
2008-02-06,17.428572,68.489998,249.233978,28.52
2008-02-07,17.32,70.910004,250.843506,28.120001
2008-02-08,17.925714,73.5,256.675568,28.559999
2008-02-11,18.492857,75.190002,258.896118,28.209999
2008-02-12,17.837143,74.449997,257.371063,28.34
